Point 0: True class: 0, Predicted class: 0. Correct.
Point 1111: True class: 2, Predicted class: 2. Correct.
Point 1112: True class: 1, Predicted class: 1. Correct.
Point 1113: True class: 7, Predicted class: 7. Correct.
Point 1114: True class: 4, Predicted class: 4. Correct.
Point 1115: True class: 6, Predicted class: 6. Correct.
Point 1116: True class: 3, Predicted class: 3. Correct.
Point 1117: True class: 1, Predicted class: 1. Correct.
Point 1118: True class: 3, Predicted class: 7. Incorrect.
Point 1119: True class: 9, Predicted class: 9. Correct.
Point 1120: True class: 1, Predicted class: 1. Correct.
Point 1121: True class: 7, Predicted class: 7. Correct.
Point 1122: True class: 6, Predicted class: 6. Correct.
Point 1123: True class: 8, Predicted class: 8. Correct.
Point 1124: True class: 4, Predicted class: 4. Correct.
Point 1125: True class: 3, Predicted class: 3. Correct.
Point 1126: True class: 1, Predicted class: 1. Correct.
Point 1127: True class: 4, Predicted class: 4. Correct.
Point 1128: True class: 0, Predicted class: 0. Correct.
Point 1129: True class: 5, Predicted class: 5. Correct.
Point 1130: True class: 3, Predicted class: 3. Correct.
Point 1131: True class: 6, Predicted class: 6. Correct.
Point 1132: True class: 9, Predicted class: 9. Correct.
Point 1133: True class: 6, Predicted class: 6. Correct.
Point 1134: True class: 1, Predicted class: 1. Correct.
Point 1135: True class: 7, Predicted class: 7. Correct.
Point 1136: True class: 5, Predicted class: 5. Correct.
Point 1137: True class: 4, Predicted class: 4. Correct.
Point 1138: True class: 4, Predicted class: 4. Correct.
Point 1139: True class: 7, Predicted class: 7. Correct.
Point 1140: True class: 2, Predicted class: 2. Correct.
Point 1141: True class: 8, Predicted class: 8. Correct.
Point 1142: True class: 2, Predicted class: 2. Correct.
Point 1143: True class: 2, Predicted class: 2. Correct.
Point 1144: True class: 5, Predicted class: 5. Correct.
Point 1145: True class: 7, Predicted class: 7. Correct.
Point 1146: True class: 9, Predicted class: 9. Correct.
Point 1147: True class: 5, Predicted class: 5. Correct.
Point 1148: True class: 4, Predicted class: 4. Correct.
Point 1149: True class: 8, Predicted class: 8. Correct.
Point 1150: True class: 8, Predicted class: 8. Correct.
Point 1151: True class: 4, Predicted class: 4. Correct.
Point 1152: True class: 9, Predicted class: 9. Correct.
Point 1153: True class: 0, Predicted class: 0. Correct.
Point 1154: True class: 8, Predicted class: 8. Correct.
Point 1155: True class: 9, Predicted class: 9. Correct.
Point 1156: True class: 8, Predicted class: 8. Correct.
Point 1157: True class: 0, Predicted class: 0. Correct.
Point 1158: True class: 1, Predicted class: 1. Correct.
Point 1159: True class: 2, Predicted class: 2. Correct.
Point 1160: True class: 3, Predicted class: 3. Correct.
Point 1161: True class: 4, Predicted class: 4. Correct.
Point 1162: True class: 5, Predicted class: 5. Correct.
Point 1163: True class: 6, Predicted class: 6. Correct.
Point 1164: True class: 7, Predicted class: 7. Correct.
Point 1165: True class: 8, Predicted class: 8. Correct.
Point 1166: True class: 9, Predicted class: 9. Correct.
Point 1167: True class: 0, Predicted class: 0. Correct.
Point 1168: True class: 1, Predicted class: 1. Correct.
Point 1169: True class: 2, Predicted class: 2. Correct.
Point 1170: True class: 3, Predicted class: 3. Correct.
Point 1171: True class: 4, Predicted class: 4. Correct.
Point 1172: True class: 5, Predicted class: 5. Correct.
Point 1173: True class: 6, Predicted class: 6. Correct.
Point 1174: True class: 7, Predicted class: 7. Correct.
Point 1175: True class: 8, Predicted class: 8. Correct.
Point 1176: True class: 9, Predicted class: 9. Correct.
Point 1177: True class: 0, Predicted class: 0. Correct.
Point 1178: True class: 1, Predicted class: 1. Correct.
Point 1179: True class: 2, Predicted class: 2. Correct.
Point 1180: True class: 3, Predicted class: 3. Correct.
Point 1181: True class: 4, Predicted class: 4. Correct.
Point 1182: True class: 5, Predicted class: 5. Correct.
Point 1183: True class: 6, Predicted class: 6. Correct.
Point 1184: True class: 7, Predicted class: 7. Correct.
Point 1185: True class: 8, Predicted class: 8. Correct.
Point 1186: True class: 9, Predicted class: 9. Correct.
Point 1187: True class: 0, Predicted class: 0. Correct.
Point 1188: True class: 9, Predicted class: 9. Correct.
Point 1189: True class: 5, Predicted class: 5. Correct.
Point 1190: True class: 5, Predicted class: 5. Correct.
Point 1191: True class: 6, Predicted class: 6. Correct.
Point 1192: True class: 5, Predicted class: 5. Correct.
Point 1193: True class: 0, Predicted class: 0. Correct.
Point 1194: True class: 9, Predicted class: 9. Correct.
Point 1195: True class: 8, Predicted class: 8. Correct.
Point 1196: True class: 9, Predicted class: 9. Correct.
Point 1197: True class: 8, Predicted class: 8. Correct.
Point 1198: True class: 4, Predicted class: 4. Correct.
Point 1199: True class: 1, Predicted class: 1. Correct.
Point 1200: True class: 7, Predicted class: 7. Correct.
Point 1201: True class: 7, Predicted class: 7. Correct.
Point 1202: True class: 3, Predicted class: 3. Correct.
Point 1203: True class: 5, Predicted class: 5. Correct.
Point 1204: True class: 1, Predicted class: 1. Correct.
Point 1205: True class: 0, Predicted class: 0. Correct.
Point 1206: True class: 0, Predicted class: 0. Correct.
Point 1207: True class: 2, Predicted class: 2. Correct.
Point 1208: True class: 2, Predicted class: 2. Correct.
Point 1209: True class: 7, Predicted class: 7. Correct.
Point 1210: True class: 8, Predicted class: 8. Correct.
Point 1211: True class: 2, Predicted class: 2. Correct.
Point 1212: True class: 0, Predicted class: 0. Correct.
Point 1213: True class: 1, Predicted class: 1. Correct.
Point 1214: True class: 2, Predicted class: 2. Correct.
Point 1215: True class: 6, Predicted class: 6. Correct.
Point 1216: True class: 3, Predicted class: 3. Correct.
Point 1217: True class: 3, Predicted class: 3. Correct.
Point 1218: True class: 7, Predicted class: 7. Correct.
Point 1219: True class: 3, Predicted class: 3. Correct.
Point 1220: True class: 3, Predicted class: 3. Correct.
Point 1221: True class: 4, Predicted class: 4. Correct.
Point 1222: True class: 6, Predicted class: 6. Correct.
Point 1223: True class: 6, Predicted class: 6. Correct.
Point 1224: True class: 6, Predicted class: 6. Correct.
Point 1225: True class: 4, Predicted class: 4. Correct.
Point 1226: True class: 9, Predicted class: 9. Correct.
Point 1227: True class: 1, Predicted class: 1. Correct.
Point 1228: True class: 5, Predicted class: 5. Correct.
Point 1229: True class: 0, Predicted class: 0. Correct.
Point 1230: True class: 9, Predicted class: 9. Correct.
Point 1231: True class: 5, Predicted class: 5. Correct.
Point 1232: True class: 2, Predicted class: 2. Correct.
Point 1233: True class: 8, Predicted class: 8. Correct.
Point 1234: True class: 2, Predicted class: 2. Correct.
Point 1235: True class: 0, Predicted class: 0. Correct.
Point 1236: True class: 0, Predicted class: 0. Correct.
Point 1237: True class: 1, Predicted class: 1. Correct.
Point 1238: True class: 7, Predicted class: 7. Correct.
Point 1239: True class: 6, Predicted class: 6. Correct.
Point 1240: True class: 3, Predicted class: 3. Correct.
Point 1241: True class: 2, Predicted class: 2. Correct.
Point 1242: True class: 1, Predicted class: 1. Correct.
Point 1243: True class: 7, Predicted class: 7. Correct.
Point 1244: True class: 4, Predicted class: 4. Correct.
Point 1245: True class: 6, Predicted class: 6. Correct.
Point 1246: True class: 3, Predicted class: 3. Correct.
Point 1247: True class: 1, Predicted class: 1. Correct.
Point 1248: True class: 3, Predicted class: 3. Correct.
Point 1249: True class: 9, Predicted class: 9. Correct.
Point 1250: True class: 1, Predicted class: 1. Correct.
Point 1251: True class: 7, Predicted class: 7. Correct.
Point 1252: True class: 6, Predicted class: 6. Correct.
Point 1253: True class: 8, Predicted class: 8. Correct.
Point 1254: True class: 4, Predicted class: 4. Correct.
Point 1255: True class: 3, Predicted class: 3. Correct.
Point 1256: True class: 1, Predicted class: 1. Correct.
Point 1257: True class: 4, Predicted class: 4. Correct.
Point 1258: True class: 0, Predicted class: 0. Correct.
Point 1259: True class: 5, Predicted class: 5. Correct.
Point 1260: True class: 3, Predicted class: 3. Correct.
Point 1261: True class: 6, Predicted class: 6. Correct.
Point 1262: True class: 9, Predicted class: 9. Correct.
Point 1263: True class: 6, Predicted class: 6. Correct.
Point 1264: True class: 1, Predicted class: 1. Correct.
Point 1265: True class: 7, Predicted class: 7. Correct.
Point 1266: True class: 5, Predicted class: 5. Correct.
Point 1267: True class: 4, Predicted class: 4. Correct.
Point 1268: True class: 4, Predicted class: 4. Correct.
Point 1269: True class: 7, Predicted class: 7. Correct.
Point 1270: True class: 2, Predicted class: 2. Correct.
Point 1271: True class: 8, Predicted class: 8. Correct.
Point 1272: True class: 2, Predicted class: 2. Correct.
Point 1273: True class: 2, Predicted class: 2. Correct.
Point 1274: True class: 5, Predicted class: 5. Correct.
Point 1275: True class: 7, Predicted class: 7. Correct.
Point 1276: True class: 9, Predicted class: 9. Correct.
Point 1277: True class: 5, Predicted class: 5. Correct.
Point 1278: True class: 4, Predicted class: 4. Correct.
Point 1279: True class: 8, Predicted class: 8. Correct.
Point 1280: True class: 8, Predicted class: 8. Correct.
Point 1281: True class: 4, Predicted class: 4. Correct.
Point 1282: True class: 9, Predicted class: 9. Correct.
Point 1283: True class: 0, Predicted class: 0. Correct.
Point 1284: True class: 8, Predicted class: 8. Correct.
Point 1285: True class: 9, Predicted class: 9. Correct.
Point 1286: True class: 8, Predicted class: 8. Correct.
Point 1287: True class: 0, Predicted class: 0. Correct.
Point 1288: True class: 1, Predicted class: 1. Correct.
Point 1289: True class: 2, Predicted class: 2. Correct.
Point 1290: True class: 3, Predicted class: 3. Correct.
Point 1291: True class: 4, Predicted class: 4. Correct.
Point 1292: True class: 5, Predicted class: 5. Correct.
Point 1293: True class: 6, Predicted class: 6. Correct.
Point 1294: True class: 7, Predicted class: 7. Correct.
Point 1295: True class: 8, Predicted class: 8. Correct.
Point 1296: True class: 9, Predicted class: 9. Correct.
Point 1297: True class: 0, Predicted class: 0. Correct.
Point 1298: True class: 1, Predicted class: 1. Correct.
Point 1299: True class: 2, Predicted class: 2. Correct.
Point 1300: True class: 3, Predicted class: 3. Correct.
Point 1301: True class: 4, Predicted class: 4. Correct.
Point 1302: True class: 5, Predicted class: 5. Correct.
Point 1303: True class: 6, Predicted class: 6. Correct.
Point 1304: True class: 7, Predicted class: 7. Correct.
Point 1305: True class: 8, Predicted class: 8. Correct.
Point 1306: True class: 9, Predicted class: 9. Correct.
Point 1307: True class: 0, Predicted class: 0. Correct.
Point 1308: True class: 1, Predicted class: 1. Correct.
Point 1309: True class: 2, Predicted class: 2. Correct.
Point 1310: True class: 3, Predicted class: 3. Correct.
Point 1311: True class: 4, Predicted class: 4. Correct.
Point 1312: True class: 5, Predicted class: 5. Correct.
Point 1313: True class: 6, Predicted class: 6. Correct.
Point 1314: True class: 7, Predicted class: 7. Correct.
Point 1315: True class: 8, Predicted class: 8. Correct.
Point 1316: True class: 9, Predicted class: 9. Correct.
Point 1317: True class: 0, Predicted class: 0. Correct.
Point 1318: True class: 9, Predicted class: 9. Correct.
Point 1319: True class: 5, Predicted class: 5. Correct.
Point 1320: True class: 5, Predicted class: 5. Correct.
Point 1321: True class: 6, Predicted class: 6. Correct.
Point 1322: True class: 5, Predicted class: 5. Correct.
Point 1323: True class: 0, Predicted class: 0. Correct.
Point 1324: True class: 9, Predicted class: 9. Correct.
Point 1325: True class: 8, Predicted class: 8. Correct.
Point 1326: True class: 9, Predicted class: 9. Correct.
Point 1327: True class: 8, Predicted class: 8. Correct.
Point 1328: True class: 4, Predicted class: 4. Correct.
Point 1329: True class: 1, Predicted class: 1. Correct.
Point 1330: True class: 7, Predicted class: 7. Correct.
Point 1331: True class: 7, Predicted class: 7. Correct.
Point 1332: True class: 3, Predicted class: 3. Correct.
Point 1333: True class: 5, Predicted class: 5. Correct.
Point 1334: True class: 1, Predicted class: 1. Correct.
Point 1335: True class: 0, Predicted class: 0. Correct.
Point 1336: True class: 0, Predicted class: 0. Correct.
Point 1337: True class: 2, Predicted class: 2. Correct.
Point 1338: True class: 2, Predicted class: 2. Correct.
Point 1339: True class: 7, Predicted class: 7. Correct.
Point 1340: True class: 8, Predicted class: 8. Correct.
Point 1341: True class: 2, Predicted class: 2. Correct.
Point 1342: True class: 0, Predicted class: 0. Correct.
Point 1343: True class: 1, Predicted class: 1. Correct.
Point 1344: True class: 2, Predicted class: 2. Correct.
Point 1345: True class: 6, Predicted class: 6. Correct.
Point 1346: True class: 3, Predicted class: 3. Correct.
Point 1347: True class: 3, Predicted class: 3. Correct.
Point 1348: True class: 7, Predicted class: 7. Correct.
Point 1349: True class: 3, Predicted class: 3. Correct.
Point 1350: True class: 3, Predicted class: 3. Correct.
Point 1351: True class: 4, Predicted class: 4. Correct.
Point 1352: True class: 6, Predicted class: 6. Correct.
Point 1353: True class: 6, Predicted class: 6. Correct.
Point 1354: True class: 6, Predicted class: 6. Correct.
Point 1355: True class: 4, Predicted class: 4. Correct.
Point 1356: True class: 9, Predicted class: 9. Correct.
Point 1357: True class: 1, Predicted class: 1. Correct.
Point 1358: True class: 5, Predicted class: 5. Correct.
Point 1359: True class: 0, Predicted class: 0. Correct.
Point 1360: True class: 9, Predicted class: 9. Correct.
Point 1361: True class: 5, Predicted class: 5. Correct.
Point 1362: True class: 2, Predicted class: 2. Correct.
Point 1363: True class: 8, Predicted class: 1. Incorrect.
Point 1364: True class: 2, Predicted class: 2. Correct.
Point 1365: True class: 0, Predicted class: 0. Correct.
Point 1366: True class: 0, Predicted class: 0. Correct.
Point 1367: True class: 1, Predicted class: 1. Correct.
Point 1368: True class: 7, Predicted class: 7. Correct.
Point 1369: True class: 6, Predicted class: 6. Correct.
Point 1370: True class: 3, Predicted class: 3. Correct.
Point 1371: True class: 2, Predicted class: 2. Correct.
Point 1372: True class: 1, Predicted class: 1. Correct.
Point 1373: True class: 7, Predicted class: 7. Correct.
Point 1374: True class: 4, Predicted class: 4. Correct.
Point 1375: True class: 6, Predicted class: 6. Correct.
Point 1376: True class: 3, Predicted class: 3. Correct.
Point 1377: True class: 1, Predicted class: 1. Correct.
Point 1378: True class: 3, Predicted class: 3. Correct.
Point 1379: True class: 9, Predicted class: 9. Correct.
Point 1380: True class: 1, Predicted class: 1. Correct.
Point 1381: True class: 7, Predicted class: 7. Correct.
Point 1382: True class: 6, Predicted class: 6. Correct.
Point 1383: True class: 8, Predicted class: 8. Correct.
Point 1384: True class: 4, Predicted class: 4. Correct.
Point 1385: True class: 3, Predicted class: 3. Correct.
Point 1386: True class: 1, Predicted class: 1. Correct.
Point 1387: True class: 4, Predicted class: 4. Correct.
Point 1388: True class: 0, Predicted class: 0. Correct.
Point 1389: True class: 5, Predicted class: 5. Correct.
Point 1390: True class: 3, Predicted class: 3. Correct.
Point 1391: True class: 6, Predicted class: 6. Correct.
Point 1392: True class: 9, Predicted class: 9. Correct.
Point 1393: True class: 6, Predicted class: 6. Correct.
Point 1394: True class: 1, Predicted class: 1. Correct.
Point 1395: True class: 7, Predicted class: 7. Correct.
Point 1396: True class: 5, Predicted class: 5. Correct.
Point 1397: True class: 4, Predicted class: 4. Correct.
Point 1398: True class: 4, Predicted class: 4. Correct.
Point 1399: True class: 7, Predicted class: 7. Correct.
Point 1400: True class: 2, Predicted class: 2. Correct.
Point 1401: True class: 8, Predicted class: 8. Correct.
Point 1402: True class: 2, Predicted class: 2. Correct.
Point 1403: True class: 2, Predicted class: 2. Correct.
Point 1404: True class: 5, Predicted class: 5. Correct.
Point 1405: True class: 7, Predicted class: 7. Correct.
Point 1406: True class: 9, Predicted class: 9. Correct.
Point 1407: True class: 5, Predicted class: 5. Correct.
Point 1408: True class: 4, Predicted class: 4. Correct.
Point 1409: True class: 8, Predicted class: 8. Correct.
Point 1410: True class: 8, Predicted class: 8. Correct.
Point 1411: True class: 4, Predicted class: 4. Correct.
Point 1412: True class: 9, Predicted class: 9. Correct.
Point 1413: True class: 0, Predicted class: 0. Correct.
Point 1414: True class: 8, Predicted class: 8. Correct.
Point 1415: True class: 0, Predicted class: 0. Correct.
Point 1416: True class: 1, Predicted class: 1. Correct.
Point 1417: True class: 2, Predicted class: 2. Correct.
Point 1418: True class: 3, Predicted class: 3. Correct.
Point 1419: True class: 4, Predicted class: 4. Correct.
Point 1420: True class: 5, Predicted class: 5. Correct.
Point 1421: True class: 6, Predicted class: 6. Correct.
Point 1422: True class: 7, Predicted class: 7. Correct.
Point 1423: True class: 8, Predicted class: 8. Correct.
Point 1424: True class: 9, Predicted class: 9. Correct.
Point 1425: True class: 0, Predicted class: 0. Correct.
Point 1426: True class: 1, Predicted class: 1. Correct.
Point 1427: True class: 2, Predicted class: 2. Correct.
Point 1428: True class: 3, Predicted class: 3. Correct.
Point 1429: True class: 4, Predicted class: 4. Correct.
Point 1430: True class: 5, Predicted class: 5. Correct.
Point 1431: True class: 6, Predicted class: 6. Correct.
Point 1432: True class: 7, Predicted class: 7. Correct.
Point 1433: True class: 8, Predicted class: 8. Correct.
Point 1434: True class: 9, Predicted class: 9. Correct.
Point 1435: True class: 0, Predicted class: 0. Correct.
Point 1436: True class: 1, Predicted class: 1. Correct.
Point 1437: True class: 2, Predicted class: 2. Correct.
Point 1438: True class: 3, Predicted class: 3. Correct.
Point 1439: True class: 4, Predicted class: 4. Correct.
Point 1440: True class: 5, Predicted class: 5. Correct.
Point 1441: True class: 6, Predicted class: 6. Correct.
Point 1442: True class: 7, Predicted class: 7. Correct.
Point 1443: True class: 8, Predicted class: 8. Correct.
Point 1444: True class: 9, Predicted class: 9. Correct.
Point 1445: True class: 0, Predicted class: 0. Correct.
Point 1446: True class: 9, Predicted class: 9. Correct.
Point 1447: True class: 5, Predicted class: 5. Correct.
Point 1448: True class: 5, Predicted class: 5. Correct.
Point 1449: True class: 6, Predicted class: 6. Correct.
Point 1450: True class: 5, Predicted class: 5. Correct.
Point 1451: True class: 0, Predicted class: 0. Correct.
Point 1452: True class: 9, Predicted class: 9. Correct.
Point 1453: True class: 8, Predicted class: 8. Correct.
Point 1454: True class: 9, Predicted class: 9. Correct.
Point 1455: True class: 8, Predicted class: 8. Correct.
Point 1456: True class: 4, Predicted class: 4. Correct.
Point 1457: True class: 1, Predicted class: 1. Correct.
Point 1458: True class: 7, Predicted class: 7. Correct.
Point 1459: True class: 7, Predicted class: 7. Correct.
Point 1460: True class: 3, Predicted class: 3. Correct.
Point 1461: True class: 5, Predicted class: 5. Correct.
Point 1462: True class: 1, Predicted class: 1. Correct.
Point 1463: True class: 0, Predicted class: 0. Correct.
Point 1464: True class: 0, Predicted class: 0. Correct.
Point 1465: True class: 2, Predicted class: 2. Correct.
Point 1466: True class: 2, Predicted class: 2. Correct.
Point 1467: True class: 7, Predicted class: 7. Correct.
Point 1468: True class: 8, Predicted class: 9. Incorrect.
Point 1469: True class: 2, Predicted class: 2. Correct.
Point 1470: True class: 0, Predicted class: 0. Correct.
Point 1471: True class: 1, Predicted class: 1. Correct.
Point 1472: True class: 2, Predicted class: 2. Correct.
Point 1473: True class: 6, Predicted class: 6. Correct.
Point 1474: True class: 3, Predicted class: 3. Correct.
Point 1475: True class: 3, Predicted class: 3. Correct.
Point 1476: True class: 7, Predicted class: 7. Correct.
Point 1477: True class: 3, Predicted class: 3. Correct.
Point 1478: True class: 3, Predicted class: 3. Correct.
Point 1479: True class: 4, Predicted class: 4. Correct.
Point 1480: True class: 6, Predicted class: 6. Correct.
Point 1481: True class: 6, Predicted class: 6. Correct.
Point 1482: True class: 6, Predicted class: 6. Correct.
Point 1483: True class: 4, Predicted class: 4. Correct.
Point 1484: True class: 9, Predicted class: 9. Correct.
Point 1485: True class: 1, Predicted class: 1. Correct.
Point 1486: True class: 5, Predicted class: 5. Correct.
Point 1487: True class: 0, Predicted class: 0. Correct.
Point 1488: True class: 9, Predicted class: 9. Correct.
Point 1489: True class: 5, Predicted class: 5. Correct.
Point 1490: True class: 2, Predicted class: 2. Correct.
Point 1491: True class: 8, Predicted class: 3. Incorrect.
Point 1492: True class: 2, Predicted class: 2. Correct.
Point 1493: True class: 0, Predicted class: 0. Correct.
Point 1494: True class: 0, Predicted class: 0. Correct.
Point 1495: True class: 1, Predicted class: 1. Correct.
Point 1496: True class: 7, Predicted class: 7. Correct.
Point 1497: True class: 6, Predicted class: 6. Correct.
Point 1498: True class: 3, Predicted class: 3. Correct.
Point 1499: True class: 2, Predicted class: 2. Correct.
Point 1500: True class: 1, Predicted class: 1. Correct.
Point 1501: True class: 7, Predicted class: 7. Correct.
Point 1502: True class: 4, Predicted class: 4. Correct.
Point 1503: True class: 6, Predicted class: 6. Correct.
Point 1504: True class: 3, Predicted class: 3. Correct.
Point 1505: True class: 1, Predicted class: 1. Correct.
Point 1506: True class: 3, Predicted class: 3. Correct.
Point 1507: True class: 9, Predicted class: 9. Correct.
Point 1508: True class: 1, Predicted class: 1. Correct.
Point 1509: True class: 7, Predicted class: 7. Correct.
Point 1510: True class: 6, Predicted class: 6. Correct.
Point 1511: True class: 8, Predicted class: 8. Correct.
Point 1512: True class: 4, Predicted class: 4. Correct.
Point 1513: True class: 3, Predicted class: 3. Correct.
Point 1514: True class: 1, Predicted class: 1. Correct.
Point 1515: True class: 4, Predicted class: 4. Correct.
Point 1516: True class: 0, Predicted class: 0. Correct.
Point 1517: True class: 5, Predicted class: 5. Correct.
Point 1518: True class: 3, Predicted class: 3. Correct.
Point 1519: True class: 6, Predicted class: 6. Correct.
Point 1520: True class: 9, Predicted class: 9. Correct.
Point 1521: True class: 6, Predicted class: 6. Correct.
Point 1522: True class: 1, Predicted class: 1. Correct.
Point 1523: True class: 7, Predicted class: 7. Correct.
Point 1524: True class: 5, Predicted class: 5. Correct.
Point 1525: True class: 4, Predicted class: 4. Correct.
Point 1526: True class: 4, Predicted class: 4. Correct.
Point 1527: True class: 7, Predicted class: 7. Correct.
Point 1528: True class: 2, Predicted class: 2. Correct.
Point 1529: True class: 8, Predicted class: 8. Correct.
Point 1530: True class: 2, Predicted class: 2. Correct.
Point 1531: True class: 2, Predicted class: 2. Correct.
Point 1532: True class: 5, Predicted class: 5. Correct.
Point 1533: True class: 7, Predicted class: 7. Correct.
Point 1534: True class: 9, Predicted class: 9. Correct.
Point 1535: True class: 5, Predicted class: 5. Correct.
Point 1536: True class: 4, Predicted class: 4. Correct.
Point 1537: True class: 8, Predicted class: 8. Correct.
Point 1538: True class: 8, Predicted class: 8. Correct.
Point 1539: True class: 4, Predicted class: 4. Correct.
Point 1540: True class: 9, Predicted class: 9. Correct.
Point 1541: True class: 0, Predicted class: 0. Correct.
Point 1542: True class: 8, Predicted class: 8. Correct.
Point 1543: True class: 9, Predicted class: 9. Correct.
Point 1544: True class: 8, Predicted class: 8. Correct.
Point 1545: True class: 0, Predicted class: 0. Correct.
Point 1546: True class: 1, Predicted class: 1. Correct.
Point 1547: True class: 2, Predicted class: 2. Correct.
Point 1548: True class: 3, Predicted class: 3. Correct.
Point 1549: True class: 4, Predicted class: 4. Correct.
Point 1550: True class: 5, Predicted class: 5. Correct.
Point 1551: True class: 6, Predicted class: 6. Correct.
Point 1552: True class: 7, Predicted class: 8. Incorrect.
Point 1553: True class: 8, Predicted class: 1. Incorrect.
Point 1554: True class: 9, Predicted class: 9. Correct.
Point 1555: True class: 0, Predicted class: 0. Correct.
Point 1556: True class: 1, Predicted class: 1. Correct.
Point 1557: True class: 2, Predicted class: 2. Correct.
Point 1558: True class: 3, Predicted class: 3. Correct.
Point 1559: True class: 4, Predicted class: 4. Correct.
Point 1560: True class: 5, Predicted class: 5. Correct.
Point 1561: True class: 6, Predicted class: 6. Correct.
Point 1562: True class: 9, Predicted class: 9. Correct.
Point 1563: True class: 0, Predicted class: 0. Correct.
Point 1564: True class: 1, Predicted class: 1. Correct.
Point 1565: True class: 2, Predicted class: 2. Correct.
Point 1566: True class: 3, Predicted class: 3. Correct.
Point 1567: True class: 4, Predicted class: 4. Correct.
Point 1568: True class: 5, Predicted class: 5. Correct.
Point 1569: True class: 6, Predicted class: 6. Correct.
Point 1570: True class: 7, Predicted class: 7. Correct.
Point 1571: True class: 8, Predicted class: 8. Correct.
Point 1572: True class: 9, Predicted class: 9. Correct.
Point 1573: True class: 0, Predicted class: 0. Correct.
Point 1574: True class: 9, Predicted class: 9. Correct.
Point 1575: True class: 5, Predicted class: 5. Correct.
Point 1576: True class: 5, Predicted class: 5. Correct.
Point 1577: True class: 6, Predicted class: 6. Correct.
Point 1578: True class: 5, Predicted class: 5. Correct.
Point 1579: True class: 0, Predicted class: 0. Correct.
Point 1580: True class: 9, Predicted class: 9. Correct.
Point 1581: True class: 8, Predicted class: 8. Correct.
Point 1582: True class: 9, Predicted class: 9. Correct.
Point 1583: True class: 8, Predicted class: 8. Correct.
Point 1584: True class: 4, Predicted class: 4. Correct.
Point 1585: True class: 1, Predicted class: 1. Correct.
Point 1586: True class: 7, Predicted class: 7. Correct.
Point 1587: True class: 7, Predicted class: 7. Correct.
Point 1588: True class: 3, Predicted class: 3. Correct.
Point 1589: True class: 5, Predicted class: 5. Correct.
Point 1590: True class: 1, Predicted class: 1. Correct.
Point 1591: True class: 0, Predicted class: 0. Correct.
Point 1592: True class: 0, Predicted class: 0. Correct.
Point 1593: True class: 2, Predicted class: 2. Correct.
Point 1594: True class: 2, Predicted class: 2. Correct.
Point 1595: True class: 7, Predicted class: 7. Correct.
Point 1596: True class: 8, Predicted class: 8. Correct.
Point 1597: True class: 2, Predicted class: 2. Correct.
Point 1598: True class: 0, Predicted class: 0. Correct.
Point 1599: True class: 1, Predicted class: 1. Correct.
Point 1600: True class: 2, Predicted class: 2. Correct.
Point 1601: True class: 6, Predicted class: 6. Correct.
Point 1602: True class: 3, Predicted class: 3. Correct.
Point 1603: True class: 3, Predicted class: 3. Correct.
Point 1604: True class: 7, Predicted class: 7. Correct.
Point 1605: True class: 3, Predicted class: 3. Correct.
Point 1606: True class: 3, Predicted class: 3. Correct.
Point 1607: True class: 4, Predicted class: 4. Correct.
Point 1608: True class: 6, Predicted class: 6. Correct.
Point 1609: True class: 6, Predicted class: 6. Correct.
Point 1610: True class: 6, Predicted class: 6. Correct.
Point 1611: True class: 4, Predicted class: 4. Correct.
Point 1612: True class: 9, Predicted class: 9. Correct.
Point 1613: True class: 1, Predicted class: 1. Correct.
Point 1614: True class: 5, Predicted class: 5. Correct.
Point 1615: True class: 0, Predicted class: 0. Correct.
Point 1616: True class: 9, Predicted class: 9. Correct.
Point 1617: True class: 5, Predicted class: 5. Correct.
Point 1618: True class: 2, Predicted class: 2. Correct.
Point 1619: True class: 8, Predicted class: 8. Correct.
Point 1620: True class: 0, Predicted class: 0. Correct.
Point 1621: True class: 1, Predicted class: 1. Correct.
Point 1622: True class: 7, Predicted class: 7. Correct.
Point 1623: True class: 6, Predicted class: 6. Correct.
Point 1624: True class: 3, Predicted class: 3. Correct.
Point 1625: True class: 2, Predicted class: 2. Correct.
Point 1626: True class: 1, Predicted class: 1. Correct.
Point 1627: True class: 7, Predicted class: 7. Correct.
Point 1628: True class: 4, Predicted class: 4. Correct.
Point 1629: True class: 6, Predicted class: 6. Correct.
Point 1630: True class: 3, Predicted class: 3. Correct.
Point 1631: True class: 1, Predicted class: 1. Correct.
Point 1632: True class: 3, Predicted class: 3. Correct.
Point 1633: True class: 9, Predicted class: 9. Correct.
Point 1634: True class: 1, Predicted class: 1. Correct.
Point 1635: True class: 7, Predicted class: 7. Correct.
Point 1636: True class: 6, Predicted class: 6. Correct.
Point 1637: True class: 8, Predicted class: 8. Correct.
Point 1638: True class: 4, Predicted class: 4. Correct.
Point 1639: True class: 3, Predicted class: 3. Correct.
Point 1640: True class: 1, Predicted class: 1. Correct.
Point 1641: True class: 4, Predicted class: 4. Correct.
Point 1642: True class: 0, Predicted class: 0. Correct.
Point 1643: True class: 5, Predicted class: 5. Correct.
Point 1644: True class: 3, Predicted class: 3. Correct.
Point 1645: True class: 6, Predicted class: 6. Correct.
Point 1646: True class: 9, Predicted class: 9. Correct.
Point 1647: True class: 6, Predicted class: 6. Correct.
